Benchmark,Method 1,Method 2,Method 3,Method 4
0.02454021649507686,0.04130310847737043,-0.012823284645502928,-0.001281654885792807,0.008050511925272478
0.0075230735342137305,0.014572254381062645,-0.0013860796619154013,-0.0019079100911229886,0.0005858307815313717
0.002493351120126521,0.04320005890254102,0.01442795619123908,-0.00012950605757041636,0.014616368727781968
-0.007711670292857341,0.07709629965343526,0.00931507729601152,-0.007522273690009127,-0.013733230409990473
0.01139375289872984,-1.5262806474756135e-5,0.014703389610744584,0.0009651671321777924,0.0028183964027575815
0.01303656006553618,-0.00013558166072241524,-0.0008241663348822432,-0.01129138563847468,-0.0018164315979502146
0.01190929033256813,0.052941323361864204,0.009896279566174714,0.002171268091187877,0.00793083654217065
0.015385291766139213,0.017164948598525926,0.003814630676520704,-0.009297909390523903,-0.00436248761608748
0.0213186872607676,0.019710984125967827,0.00023749292301255057,-0.0039045739403287746,0.03307172368726181
0.0051749699921930705,0.048485346560522155,0.008171134312783337,-0.003459268947110367,-0.004162810823199783
